,service_date,day_type,bus,rail_boardings,total_rides
7050,2020-04-21,W,219120,77886,297006
7051,2020-04-22,W,213080,77822,290902
7052,2020-04-23,W,214131,77918,292049
7053,2020-04-24,W,225498,78966,304464
7054,2020-04-25,A,156179,51764,207943
7055,2020-04-26,U,145023,47350,192373
7056,2020-04-27,W,230903,77830,308733
7057,2020-04-28,W,229831,79284,309115
7058,2020-04-29,W,205453,74942,280395
7059,2020-04-30,W,224948,79783,304731
7060,2020-05-01,W,272700,89139,361839
7061,2020-05-02,A,210617,59142,269759
7062,2020-05-03,U,155791,49160,204951
7063,2020-05-04,W,244960,79706,324666
7064,2020-05-05,W,224885,77485,302370
7065,2020-05-06,W,248434,82526,330960
7066,2020-05-07,W,247597,83941,331538
7067,2020-05-08,W,242402,82107,324509
7068,2020-05-09,A,206907,59372,266279
7069,2020-05-10,U,134047,43773,177820
7070,2020-05-11,W,236521,77650,314171
7071,2020-05-12,W,244938,81217,326155
7072,2020-05-13,W,259169,83529,342698
7073,2020-05-14,W,211894,76152,288046
7074,2020-05-15,W,261148,82454,343602
7075,2020-05-16,A,204433,60144,264577
7076,2020-05-17,U,119698,40451,160149
7077,2020-05-18,W,242568,80822,323390
7078,2020-05-19,W,228412,79752,308164
7079,2020-05-20,W,253916,85596,339512
7080,2020-05-21,W,244336,85164,329500
7081,2020-05-22,W,255894,86436,342330
7082,2020-05-23,A,198708,59164,257872
7083,2020-05-24,U,171095,53281,224376
7084,2020-05-25,U,170039,52921,222960
7085,2020-05-26,W,260758,84940,345698
7086,2020-05-27,W,258713,86518,345231
7087,2020-05-28,W,250675,86579,337254
7088,2020-05-29,W,265087,92565,357652
7089,2020-05-30,A,210004,69848,279852
7090,2020-05-31,U,86503,23544,110047
7091,2020-06-01,W,146931,27517,174448
7092,2020-06-02,W,154414,31544,185958
7093,2020-06-03,W,207502,68423,275925
7094,2020-06-04,W,236590,83605,320195
7095,2020-06-05,W,252137,90734,342871
7096,2020-06-06,A,184406,69622,254028
7097,2020-06-07,U,143697,53232,196929
7098,2020-06-08,W,263520,100516,364036
7099,2020-06-09,W,245154,98717,343871
7100,2020-06-10,W,258523,101685,360208
7101,2020-06-11,W,282597,110709,393306
7102,2020-06-12,W,276051,113656,389707
7103,2020-06-13,A,206386,81727,288113
7104,2020-06-14,U,165299,66384,231683
7105,2020-06-15,W,294517,111956,406473
7106,2020-06-16,W,301881,114566,416447
7107,2020-06-17,W,306380,117798,424178
7108,2020-06-18,W,305028,119506,424534
7109,2020-06-19,W,303502,125162,428664
7110,2020-06-20,A,221620,81634,303254
7111,2020-06-21,U,165913,70884,236797
7112,2020-06-22,W,260524,114622,375146
7113,2020-06-23,W,299680,131100,430780
7114,2020-06-24,W,286680,133015,419695
7115,2020-06-25,W,304522,139288,443810
7116,2020-06-26,W,275240,130402,405642
7117,2020-06-27,A,233358,106092,339450
7118,2020-06-28,U,171693,86966,258659
7119,2020-06-29,W,279383,133291,412674
7120,2020-06-30,W,298563,140782,439345
7121,2020-07-01,W,327984,148683,476667
7122,2020-07-02,W,320859,149071,469930
7123,2020-07-03,U,272940,127079,400019
7124,2020-07-04,A,188378,94601,282979
7125,2020-07-05,U,166998,84977,251975
7126,2020-07-06,W,301317,143054,444371
7127,2020-07-07,W,300508,147310,447818
7128,2020-07-08,W,301892,149845,451737
7129,2020-07-09,W,301260,149971,451231
7130,2020-07-10,W,312226,155529,467755
7131,2020-07-11,A,233152,112641,345793
7132,2020-07-12,U,174761,90382,265143
7133,2020-07-13,W,309700,149117,458817
7134,2020-07-14,W,312379,152758,465137
7135,2020-07-15,W,295648,147794,443442
7136,2020-07-16,W,306288,154912,461200
7137,2020-07-17,W,315882,161335,477217
7138,2020-07-18,A,219217,109549,328766
7139,2020-07-19,U,148461,80714,229175
7140,2020-07-20,W,307261,149404,456665
7141,2020-07-21,W,297659,148632,446291
7142,2020-07-22,W,306629,152652,459281
7143,2020-07-23,W,315401,156970,472371
7144,2020-07-24,W,318269,161024,479293
7145,2020-07-25,A,228619,116404,345023
7146,2020-07-26,U,163332,90069,253401
7147,2020-07-27,W,295579,144168,439747
7148,2020-07-28,W,314899,153221,468120
7149,2020-07-29,W,305332,152279,457611
7150,2020-07-30,W,307576,156312,463888
7151,2020-07-31,W,338021,164604,502625
7152,2020-08-01,A,235944,117414,353358
7153,2020-08-02,U,169536,89199,258735
7154,2020-08-03,W,324028,152552,476580
